Unnamed: 0,RespondentID,Income_Wages,Income_SelfEmployment,Income_SocialSecurity,Income_DisabilityPension,Income_RetirementPension,Income_SSI,Income_CashAssistance,Income_InterestDividends,Income_OtherSources,MonthlyIncomeRange,PovertyLevelIndex,PovertyLevelCategory,Savings_Over5000,TotalSavings
1,62161,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,77.0,,3.0,,
2,62162,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.6,1.0,2.0,1.0
3,62163,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
4,62164,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.11,1.0,2.0,1.0
5,62165,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.5,1.0,2.0,1.0
6,62166,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,
7,62167,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,
8,62168,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,11.0,3.01,3.0,,
9,62169,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,0.38,1.0,2.0,1.0
10,62170,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
11,62171,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,8.0,2.04,3.0,,
12,62172,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.54,2.0,,
13,62173,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,1.0,2.0,1.0
14,62174,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,10.0,4.28,3.0,,
15,62175,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.28,1.0,2.0,1.0
16,62176,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,99.0,,3.0,,
17,62177,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,
18,62178,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.1,1.0,1.0,
19,62179,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
20,62180,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.73,1.0,2.0,4.0
21,62181,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.46,1.0,2.0,1.0
22,62182,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,77.0,,7.0,7.0,
23,62183,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,3.38,3.0,,
24,62184,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,11.0,2.66,3.0,,
