Unnamed: 0,RespondentID,Income_Wages,Income_SelfEmployment,Income_SocialSecurity,Income_DisabilityPension,Income_RetirementPension,Income_SSI,Income_CashAssistance,Income_InterestDividends,Income_OtherSources,MonthlyIncomeRange,PovertyLevelIndex,PovertyLevelCategory,INQ300,IND310,INQ320
1,83732,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,10.0,4.14,3.0,1.0,,1.0
2,83733,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0
3,83734,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,6.0,1.81,2.0,2.0,1.0,1.0
4,83735,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,7.0,3.57,3.0,2.0,2.0,1.0
5,83736,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.48,2.0,2.0,1.0,1.0
6,83737,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,10.0,2.53,3.0,2.0,2.0,1.0
7,83738,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,1.18,1.0,2.0,1.0,2.0
8,83739,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,4.22,3.0,1.0,,1.0
9,83740,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0
10,83741,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,9.0,2.98,3.0,2.0,1.0,1.0
11,83742,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,0.99,1.0,2.0,1.0,1.0
12,83743,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,1.0,,1.0
13,83744,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.02,1.0,2.0,1.0,1.0
14,83745,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,0.79,1.0,2.0,1.0,3.0
15,83746,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,3.0,9.0,,1.0
16,83747,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,1.73,2.0,2.0,1.0,4.0
17,83748,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,99.0,,1.0,2.0,1.0,1.0
18,83749,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,1.65,2.0,2.0,1.0,1.0
19,83750,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.04,3.0,2.0,1.0,2.0
20,83751,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,6.0,0.92,1.0,2.0,1.0,1.0
21,83752,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,2.0,5.0,1.0
22,83753,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.33,3.0,2.0,1.0,1.0
23,83754,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,6.0,0.89,1.0,2.0,1.0,1.0
24,83755,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.04,3.0,2.0,1.0,3.0
25,83756,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.03,1.0,2.0,1.0,1.0
26,83757,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,0.76,1.0,2.0,1.0,2.0
27,83758,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,9.0,5.0,3.0,1.0,,1.0
28,83759,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,1.37,2.0,2.0,1.0,1.0
