"","SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
"1",73557,2,2,1,2,2,2,2,2,2,4,0.86,1,9,NA
"2",73558,1,1,1,2,2,2,2,1,2,5,0.92,1,1,NA
"3",73559,2,2,1,2,1,2,2,1,2,10,4.37,3,NA,NA
"4",73560,1,2,2,2,2,2,2,2,1,9,2.52,3,NA,NA
"5",73561,2,2,1,2,2,2,2,2,2,11,5,3,NA,NA
"6",73562,1,2,2,2,2,2,2,2,2,10,5,3,NA,NA
"7",73563,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"8",73564,1,1,1,2,1,2,2,1,2,8,4.18,3,NA,NA
"9",73565,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"10",73566,1,2,1,1,2,1,2,2,2,4,0.51,1,2,1
"11",73567,2,2,1,2,2,2,2,2,2,3,1.14,1,2,1
"12",73568,1,2,2,2,2,2,2,1,2,9,3.03,3,NA,NA
"13",73569,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
"14",73570,1,1,2,2,2,2,2,2,1,5,0.91,1,2,4
"15",73571,2,2,1,2,1,2,2,2,2,12,5,3,NA,NA
"16",73572,1,2,2,2,2,2,1,2,2,3,0.55,1,2,1
"17",73573,1,2,2,2,2,2,2,2,1,8,1.72,2,2,4
"18",73574,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"19",73575,1,2,2,2,2,2,2,2,2,3,0.92,1,2,2
"20",73576,1,2,2,2,2,2,2,2,1,5,0.76,1,2,4
"21",73577,1,2,2,2,2,2,1,2,2,2,0.3,1,2,1
"22",73578,1,1,2,2,2,2,2,2,2,99,NA,1,2,1
"23",73579,1,2,2,2,2,2,2,2,2,4,0.76,1,NA,NA
"24",73580,1,2,2,2,2,2,2,2,2,77,NA,1,2,1
"25",73581,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"26",73582,1,2,2,2,2,2,2,2,2,6,1.54,2,2,2
"27",73583,1,2,2,2,2,2,2,1,1,11,4.3,3,NA,NA
"28",73584,1,1,2,2,2,2,2,2,2,8,2.46,3,NA,NA
"29",73585,1,2,2,2,2,2,2,2,2,10,4.64,3,NA,NA
"30",73586,1,2,2,2,2,2,2,2,2,6,1.27,1,2,1
"31",73587,1,2,2,1,2,2,2,2,2,11,2.66,3,NA,NA
"32",73588,1,2,2,2,2,2,2,2,2,7,1.84,2,2,1
"33",73589,1,2,2,2,2,2,2,2,2,4,1.46,2,1,NA
"34",73590,1,2,2,2,2,2,2,2,2,6,1.18,1,2,1
"35",73591,1,1,2,2,2,2,2,1,2,12,5,3,NA,NA
"36",73592,1,2,2,2,2,2,2,2,2,5,2.06,3,NA,NA
"37",73593,1,2,2,2,2,2,2,2,2,11,3.77,3,NA,NA
"38",73594,1,2,2,2,2,2,2,2,2,4,0.41,1,2,1
"39",73595,1,2,2,2,2,2,2,2,1,7,2.32,3,NA,NA
"40",73596,1,1,2,2,1,2,2,1,1,8,2.43,3,NA,NA
"41",73597,2,2,2,1,2,2,2,2,1,5,1.83,2,NA,NA
"42",73598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",73599,1,1,2,2,2,2,2,1,2,5,1.21,1,2,2
"44",73600,1,1,2,2,2,2,2,2,2,5,0.76,1,2,1
"45",73601,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"46",73602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",73603,1,2,2,2,2,2,2,1,2,9,2.52,3,NA,NA
"48",73604,2,2,1,2,2,2,2,1,2,6,2.72,3,NA,NA
"49",73605,1,2,2,2,2,2,2,2,2,12,4.28,3,NA,NA
"50",73606,1,2,2,2,2,2,2,2,2,11,3.48,3,NA,NA
"51",73607,2,2,1,1,2,2,2,2,2,4,1.22,1,2,3
"52",73608,1,2,2,2,2,2,2,2,2,4,0.75,1,2,1
"53",73609,1,2,2,2,2,2,2,2,2,6,1.04,1,2,1
"54",73610,1,2,2,1,1,2,2,2,2,9,1.88,3,NA,NA
"55",73611,1,2,2,2,2,2,2,2,2,4,0.41,1,2,1
"56",73612,1,2,2,2,2,2,2,2,2,6,0.76,1,2,1
"57",73613,1,2,2,2,2,2,2,1,2,10,2.28,3,NA,NA
"58",73614,2,2,2,2,2,1,2,1,2,3,0.67,1,2,1
"59",73615,2,2,2,2,2,1,1,2,2,3,1.25,1,2,1
"60",73616,1,1,2,2,2,2,2,2,2,12,5,3,NA,NA
"61",73617,1,2,2,2,2,2,2,2,2,3,0.38,1,2,1
"62",73618,1,1,2,2,2,2,2,1,2,77,NA,1,1,NA
"63",73619,1,1,2,2,2,2,2,2,2,3,0.93,1,2,1
"64",73620,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"65",73621,2,2,1,2,1,2,2,1,2,10,4.64,3,NA,NA
"66",73622,2,2,1,2,1,2,2,1,2,11,5,3,NA,NA
"67",73623,1,2,2,2,2,2,2,1,2,11,4.03,3,NA,NA
"68",73624,2,2,2,1,2,2,2,2,2,5,0.68,1,2,1
"69",73625,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
"70",73626,2,2,1,2,2,2,2,2,2,6,1.21,1,1,NA
"71",73627,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"72",73628,2,2,1,2,1,2,2,1,2,6,2.16,3,NA,NA
"73",73629,1,2,2,2,2,2,2,2,2,9,2.18,3,NA,NA
"74",73630,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"75",73631,1,1,2,2,2,2,2,2,2,3,1.04,1,2,1
"76",73632,1,2,2,2,2,2,2,2,2,7,2.29,3,NA,NA
"77",73633,1,2,2,2,2,2,2,2,2,12,4.78,3,NA,NA
"78",73634,1,2,1,2,2,1,1,2,2,7,2.12,3,2,1
"79",73635,1,1,2,2,2,2,2,2,2,12,5,3,NA,NA
"80",73636,1,2,2,2,2,2,2,1,2,9,2.55,3,NA,NA
"81",73637,1,1,2,2,2,2,2,1,1,2,0.26,1,1,NA
"82",73638,2,2,1,2,2,2,2,2,1,6,2.3,3,NA,NA
"83",73639,1,2,1,1,2,2,1,2,2,7,1.6,2,2,1
"84",73640,2,2,1,2,1,2,2,2,2,4,1.54,2,NA,NA
"85",73641,2,2,2,2,2,1,2,2,2,2,0.72,1,2,1
"86",73642,1,2,2,2,2,2,2,1,2,9,3.03,3,NA,NA
"87",73643,2,2,1,2,2,2,2,2,2,6,1.78,2,1,NA
"88",73644,2,1,1,2,2,2,2,2,2,99,NA,9,2,1
"89",73645,1,2,2,2,2,2,2,1,1,11,3,3,NA,NA
"90",73646,1,2,2,2,2,2,2,2,2,10,2.8,3,NA,NA
"91",73647,1,2,2,1,2,2,2,2,2,8,2.76,3,NA,NA
"92",73648,1,2,2,2,2,2,2,2,2,99,NA,3,NA,NA
"93",73649,1,2,2,2,2,1,2,2,2,2,0.31,1,2,2
"94",73650,1,2,2,1,2,2,1,2,1,5,0.75,1,NA,NA
"95",73651,1,2,2,2,2,2,2,1,2,9,2.52,3,NA,NA
"96",73652,1,2,2,2,2,2,2,2,2,6,1.91,3,NA,NA
"97",73653,1,1,2,2,2,2,2,2,1,2,0.23,1,2,1
"98",73654,7,2,2,7,7,7,7,7,7,99,NA,1,2,1
"99",73655,1,2,2,2,2,2,2,2,1,8,1.72,2,2,4
"100",73656,1,2,2,2,2,2,2,2,2,12,4.28,3,NA,NA
"101",73657,1,2,2,2,2,2,2,2,1,7,1.52,2,2,1
"102",73658,1,2,2,2,2,2,2,2,2,8,2.76,3,NA,NA
"103",73659,2,2,2,2,2,2,2,1,2,9,3.87,3,2,1
"104",73660,1,2,2,2,2,2,2,2,2,7,1.82,2,2,1
"105",73661,1,2,2,2,2,2,2,2,2,10,3.34,3,NA,NA
"106",73662,2,2,2,2,2,2,2,2,2,3,0.59,1,2,1
"107",73663,1,2,2,2,2,2,2,1,2,9,4.94,3,NA,NA
"108",73664,1,2,2,2,2,2,2,2,2,12,4.53,3,NA,NA
"109",73665,1,2,2,2,2,2,2,2,2,77,NA,1,2,1
"110",73666,2,2,1,2,1,2,2,2,2,9,3.81,3,NA,NA
"111",73667,2,2,1,2,2,1,2,2,1,4,0.65,1,2,1
"112",73668,1,2,2,2,2,2,2,2,2,3,0.4,1,2,1
"113",73669,1,2,2,2,2,2,1,2,2,1,0.15,1,2,1
"114",73670,2,2,1,2,2,2,2,2,2,3,0.88,1,2,1
"115",73671,2,1,2,2,2,2,2,2,2,3,0.82,1,2,1
"116",73672,2,2,2,2,2,2,2,1,2,11,5,3,NA,NA
"117",73673,1,1,2,2,2,2,2,1,2,12,5,3,NA,NA
"118",73674,1,2,2,2,2,2,2,2,2,77,NA,2,7,NA
"119",73675,1,2,2,2,2,2,2,2,2,4,0.86,1,2,1
"120",73676,1,1,2,2,2,2,2,1,2,6,1.41,2,NA,NA
"121",73677,1,2,2,2,1,2,2,1,1,11,5,3,NA,NA
"122",73678,1,2,2,2,1,2,2,2,1,3,0.41,1,2,1
"123",73679,1,2,2,2,2,2,2,2,2,9,2.09,3,2,1
"124",73680,1,2,2,2,2,2,2,2,1,8,2.33,3,NA,NA
"125",73681,1,1,2,2,2,2,2,2,1,7,1.29,1,2,1
"126",73682,2,2,2,2,2,2,1,2,2,2,0.36,1,2,1
"127",73683,1,2,2,2,2,2,2,1,2,8,2.01,3,NA,NA
"128",73684,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"129",73685,1,2,2,2,2,2,2,2,2,5,1.23,1,2,1
