SEQN,Income from wages/salaries,Income from self employment,Income from Social Security or RR,Income from other disability pension,Income from retirement/survivor pension,Income from Supplemental Security,Income from state/county cash assistance,Income from interest/dividends or rental,Income from other sources,Monthly family income,Family monthly poverty level index,Family monthly poverty level category,Gender,Total household income,Total family income,A ratio of family income to poverty guidelines,In what country were you born?,Age,person's education level,Year
62162,1,2,2,2,2,2,2,2,2,4,0.6,1,2,4,4,0.6,1,24,3,2011.2012
62163,1,2,1,2,1,2,2,1,2,12,5,3,1,15,15,4.07,1,42,5,2011.2012
62164,1,2,2,2,2,2,2,2,2,6,1.11,1,2,8,8,1.67,1,52,4,2011.2012
62165,2,1,2,2,2,2,2,2,2,3,0.5,1,2,4,4,0.57,1,33,2,2011.2012
62168,1,1,1,2,2,2,2,2,1,11,3.01,3,1,14,14,3.48,1,43,4,2011.2012
62169,2,2,1,2,2,1,2,2,2,3,0.38,1,1,2,2,0.33,1,51,1,2011.2012
62170,1,2,2,2,2,2,2,1,2,12,5,3,1,15,15,5,1,38,5,2011.2012
62171,1,2,2,2,2,2,2,1,2,8,2.04,3,1,9,9,2.46,1,43,3,2011.2012
62172,1,2,2,2,2,2,2,2,1,4,1.54,2,2,5,5,2.02,1,43,3,2011.2012
62174,2,2,1,1,2,2,2,1,2,10,4.28,3,1,10,10,4.3,1,80,4,2011.2012
62175,1,2,1,2,2,2,2,2,2,2,0.28,1,1,3,3,0.39,1,25,4,2011.2012
62178,2,2,1,2,2,2,2,2,2,3,1.1,1,1,1,1,0.05,1,80,3,2011.2012
62179,1,2,2,2,2,2,2,1,2,12,5,3,1,15,15,5,1,55,5,2011.2012
62180,1,2,2,2,2,2,2,2,2,4,0.73,1,1,5,5,0.87,1,35,5,2011.2012
62181,1,2,2,2,2,2,2,2,2,3,0.46,1,1,4,4,0.55,1,36,1,2011.2012
62183,1,2,2,2,2,2,2,2,2,11,3.38,3,1,14,14,3.6,1,41,4,2011.2012
62184,1,2,1,2,1,2,1,2,2,11,2.66,3,1,15,15,3.85,1,62,4,2011.2012
62186,1,2,2,2,2,2,2,2,2,1,0,1,2,5,5,0.53,1,38,9,2011.2012
62188,1,2,2,2,2,2,2,2,2,4,0.67,1,1,5,5,0.78,1,40,1,2011.2012
62189,1,2,2,2,2,2,2,2,2,9,2.6,3,2,10,10,3.04,1,30,4,2011.2012
62190,1,1,2,2,2,2,2,2,2,3,0.54,1,2,6,3,0.54,2,43,1,2011.2012
62192,1,2,1,2,1,1,2,1,1,9,3.24,3,2,7,7,2.05,1,45,5,2011.2012
62193,1,1,2,2,2,2,2,2,1,4,0.67,1,1,6,6,1.18,1,38,2,2011.2012
62194,1,2,2,2,2,2,2,2,2,12,5,3,2,15,15,5,1,43,5,2011.2012
62195,1,2,2,2,2,2,2,2,2,6,2.75,3,1,8,6,2.39,2,21,5,2011.2012
62196,1,2,2,2,2,2,2,1,2,9,2.22,3,1,9,9,2.22,1,55,4,2011.2012
62197,1,1,2,2,2,2,2,2,1,10,2.9,3,2,15,15,5,1,44,3,2011.2012
62198,2,2,2,2,2,2,2,2,2,3,0.62,1,1,3,3,0.61,1,32,3,2011.2012
62199,1,1,2,2,2,2,2,1,2,11,5,3,1,15,15,5,1,57,5,2011.2012
62200,1,2,2,2,2,2,2,2,2,12,4,3,1,15,15,4.07,2,42,5,2011.2012
62201,1,2,2,2,2,2,2,1,2,8,2.15,3,2,6,6,1.34,2,32,3,2011.2012
62202,1,2,2,2,2,2,2,2,2,7,1.36,2,1,14,14,2.83,1,36,2,2011.2012
62204,1,1,2,2,2,2,2,2,2,12,5,3,2,15,15,5,2,48,5,2011.2012
62205,1,2,2,2,2,2,2,1,2,12,5,3,1,15,15,5,1,53,5,2011.2012
62206,1,1,2,2,2,2,2,2,2,11,2.52,3,2,14,14,2.74,1,35,5,2011.2012
62208,1,2,2,2,2,2,2,2,2,7,1.38,2,1,7,7,1.53,2,37,4,2011.2012
62209,1,2,2,2,2,1,2,2,1,7,1.38,2,2,6,6,1.11,2,40,2,2011.2012
62210,1,2,2,2,2,2,2,1,2,12,5,3,1,15,15,5,1,52,5,2011.2012
62211,1,2,2,2,2,1,2,2,2,9,2.22,3,2,9,9,2.22,2,66,1,2011.2012
62213,1,2,2,2,2,2,2,2,2,3,0.75,1,1,4,4,0.94,1,48,3,2011.2012
62214,1,2,2,2,2,2,2,2,2,4,0.64,1,2,7,7,1.41,1,53,3,2011.2012
62217,1,2,1,2,2,2,2,2,1,4,0.97,1,2,4,4,0.97,1,77,1,2011.2012
62218,1,2,2,2,2,2,2,2,1,7,1.94,3,2,14,14,4.05,1,18,2,2011.2012
62220,1,2,2,2,2,2,2,2,2,8,4.3,3,2,9,9,4.92,1,31,5,2011.2012
62221,1,2,2,2,2,2,2,2,2,11,3.38,3,2,14,14,3.6,1,41,4,2011.2012
62222,1,2,2,2,2,2,2,1,2,12,5,3,1,15,15,5,1,30,5,2011.2012
62224,1,1,2,2,2,2,2,2,2,8,2.42,3,2,9,9,2.46,2,35,1,2011.2012
62225,1,2,2,2,2,2,2,2,2,11,3.9,3,2,15,15,4.99,1,43,4,2011.2012
62226,2,2,1,2,2,2,2,1,2,6,1.98,3,1,9,9,3.64,2,79,2,2011.2012
62227,1,1,2,2,2,2,2,2,2,12,5,3,1,15,15,5,1,53,5,2011.2012
62229,1,2,2,2,2,2,2,1,2,6,1.57,2,2,6,6,1.31,1,30,5,2011.2012
62230,2,2,1,2,2,2,2,2,2,3,1.07,1,1,5,3,1.07,1,70,4,2011.2012
62231,1,2,2,2,2,2,2,1,2,12,4.59,3,2,15,15,3.92,1,19,4,2011.2012
62232,1,2,2,2,2,2,2,1,2,8,1.98,3,2,14,14,3.3,1,42,4,2011.2012
62234,1,1,2,2,2,2,2,2,2,12,4.89,3,1,15,15,4.89,1,57,3,2011.2012
62235,1,2,2,2,2,2,2,1,2,12,4.43,3,2,15,15,5,1,35,5,2011.2012
62236,1,2,2,2,2,2,2,1,2,12,5,3,1,15,15,5,2,61,4,2011.2012
62237,2,2,1,1,1,2,2,2,1,7,2.54,3,2,7,7,2.64,1,58,5,2011.2012
62239,1,2,2,2,2,2,2,2,2,3,1.1,1,2,14,1,0.09,2,24,4,2011.2012
62240,1,2,1,2,2,2,2,2,2,7,1.67,2,2,14,14,3.25,1,45,3,2011.2012
62241,1,2,2,2,2,2,2,2,2,9,2.68,3,1,14,14,3.45,1,34,5,2011.2012
62242,1,2,2,2,2,2,2,1,1,7,2.38,3,1,6,6,1.98,1,50,5,2011.2012
62243,1,2,2,2,2,2,2,2,2,12,5,3,2,15,15,5,1,34,5,2011.2012
62244,1,2,2,2,2,2,2,1,2,9,2.68,3,1,15,15,5,1,32,5,2011.2012
62245,1,2,2,2,2,2,2,1,2,12,5,3,1,15,15,5,1,44,5,2011.2012
62248,1,1,2,2,2,2,2,2,2,9,1.59,2,1,8,8,1.2,2,24,2,2011.2012
62249,1,2,2,2,2,2,2,1,2,7,3.31,3,2,4,4,1.38,1,26,5,2011.2012
62250,1,2,2,2,2,2,2,1,2,12,5,3,1,15,15,5,1,34,5,2011.2012
62252,1,2,2,2,2,2,2,2,1,9,3.14,3,2,15,8,2.62,1,30,2,2011.2012
62253,2,2,2,2,2,2,2,1,2,9,3.24,3,1,14,14,5,1,42,5,2011.2012
62255,2,1,1,2,2,1,2,2,2,4,1.04,1,1,3,3,0.87,1,65,2,2011.2012
62256,2,2,1,1,2,2,2,2,2,6,1.71,2,1,5,5,1.63,1,79,3,2011.2012
