SEQN,Monthly family income,Total household income,Total family income,education level,Year
62162,4,4,4,3,2011.2012
62163,12,15,15,5,2011.2012
62164,6,8,8,4,2011.2012
62165,3,4,4,2,2011.2012
62168,11,14,14,4,2011.2012
62169,3,2,2,1,2011.2012
62170,12,15,15,5,2011.2012
62171,8,9,9,3,2011.2012
62172,4,5,5,3,2011.2012
62174,10,10,10,4,2011.2012
62175,2,3,3,4,2011.2012
62178,3,1,1,3,2011.2012
62179,12,15,15,5,2011.2012
62180,4,5,5,5,2011.2012
62181,3,4,4,1,2011.2012
62183,11,14,14,4,2011.2012
62184,11,15,15,4,2011.2012
62188,4,5,5,1,2011.2012
62189,9,10,10,4,2011.2012
62190,3,6,3,1,2011.2012
62192,9,7,7,5,2011.2012
62193,4,6,6,2,2011.2012
62194,12,15,15,5,2011.2012
62195,6,8,6,5,2011.2012
62196,9,9,9,4,2011.2012
62197,10,15,15,3,2011.2012
62198,3,3,3,3,2011.2012
62199,11,15,15,5,2011.2012
62200,12,15,15,5,2011.2012
62201,8,6,6,3,2011.2012
62202,7,14,14,2,2011.2012
62204,12,15,15,5,2011.2012
62205,12,15,15,5,2011.2012
62206,11,14,14,5,2011.2012
62208,7,7,7,4,2011.2012
62209,7,6,6,2,2011.2012
62210,12,15,15,5,2011.2012
62211,9,9,9,1,2011.2012
62213,3,4,4,3,2011.2012
62214,4,7,7,3,2011.2012
62217,4,4,4,1,2011.2012
62218,7,14,14,2,2011.2012
62220,8,9,9,5,2011.2012
62221,11,14,14,4,2011.2012
62222,12,15,15,5,2011.2012
62224,8,9,9,1,2011.2012
62225,11,15,15,4,2011.2012
62226,6,9,9,2,2011.2012
62227,12,15,15,5,2011.2012
62229,6,6,6,5,2011.2012
62230,3,5,3,4,2011.2012
62231,12,15,15,4,2011.2012
62232,8,14,14,4,2011.2012
62234,12,15,15,3,2011.2012
62235,12,15,15,5,2011.2012
62236,12,15,15,4,2011.2012
62237,7,7,7,5,2011.2012
62239,3,14,1,4,2011.2012
62240,7,14,14,3,2011.2012
62241,9,14,14,5,2011.2012
62242,7,6,6,5,2011.2012
62243,12,15,15,5,2011.2012
62244,9,15,15,5,2011.2012
62245,12,15,15,5,2011.2012
62248,9,8,8,2,2011.2012
62249,7,4,4,5,2011.2012
62250,12,15,15,5,2011.2012
62252,9,15,8,2,2011.2012
62253,9,14,14,5,2011.2012
62255,4,3,3,2,2011.2012
62256,6,5,5,3,2011.2012
62258,6,6,6,1,2011.2012
62259,2,4,2,3,2011.2012
62260,12,15,15,3,2011.2012
62261,9,14,14,5,2011.2012
62263,3,3,3,2,2011.2012
62264,5,7,7,2,2011.2012
62265,7,7,7,4,2011.2012
62266,5,12,5,4,2011.2012
62267,5,6,6,4,2011.2012
62269,5,1,1,2,2011.2012
62270,3,4,4,2,2011.2012
62272,5,6,6,3,2011.2012
62273,11,14,14,4,2011.2012
62274,3,3,3,4,2011.2012
62275,12,15,15,5,2011.2012
62276,12,15,15,5,2011.2012
62277,8,9,9,4,2011.2012
62278,7,7,7,4,2011.2012
62280,4,6,6,4,2011.2012
