"","SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
"1",62161,1,2,2,2,2,2,2,1,2,77,NA,3,NA,NA
"2",62162,1,2,2,2,2,2,2,2,2,4,0.6,1,2,1
"3",62163,1,2,1,2,1,2,2,1,2,12,5,3,NA,NA
"4",62164,1,2,2,2,2,2,2,2,2,6,1.11,1,2,1
"5",62165,2,1,2,2,2,2,2,2,2,3,0.5,1,2,1
"6",62166,1,2,2,2,2,2,2,1,2,NA,NA,NA,NA,NA
"7",62167,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
"8",62168,1,1,1,2,2,2,2,2,1,11,3.01,3,NA,NA
"9",62169,2,2,1,2,2,1,2,2,2,3,0.38,1,2,1
"10",62170,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"11",62171,1,2,2,2,2,2,2,1,2,8,2.04,3,NA,NA
"12",62172,1,2,2,2,2,2,2,2,1,4,1.54,2,NA,NA
"13",62173,1,2,2,2,2,2,2,2,2,99,NA,1,2,1
"14",62174,2,2,1,1,2,2,2,1,2,10,4.28,3,NA,NA
"15",62175,1,2,1,2,2,2,2,2,2,2,0.28,1,2,1
"16",62176,1,2,2,2,2,2,2,1,2,99,NA,3,NA,NA
"17",62177,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
"18",62178,2,2,1,2,2,2,2,2,2,3,1.1,1,1,NA
"19",62179,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"20",62180,1,2,2,2,2,2,2,2,2,4,0.73,1,2,4
"21",62181,1,2,2,2,2,2,2,2,2,3,0.46,1,2,1
"22",62182,2,2,1,2,2,2,2,2,2,77,NA,7,7,NA
"23",62183,1,2,2,2,2,2,2,2,2,11,3.38,3,NA,NA
"24",62184,1,2,1,2,1,2,1,2,2,11,2.66,3,NA,NA
"25",62185,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
"26",62186,1,2,2,2,2,2,2,2,2,1,0,1,2,1
"27",62187,2,2,2,2,2,2,7,2,2,NA,NA,NA,NA,NA
"28",62188,1,2,2,2,2,2,2,2,2,4,0.67,1,2,1
"29",62189,1,2,2,2,2,2,2,2,2,9,2.6,3,NA,NA
"30",62190,1,1,2,2,2,2,2,2,2,3,0.54,1,2,1
"31",62191,1,2,1,1,1,2,2,1,2,3,1.02,1,2,1
"32",62192,1,2,1,2,1,1,2,1,1,9,3.24,3,NA,NA
"33",62193,1,1,2,2,2,2,2,2,1,4,0.67,1,2,1
"34",62194,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"35",62195,1,2,2,2,2,2,2,2,2,6,2.75,3,2,1
"36",62196,1,2,2,2,2,2,2,1,2,9,2.22,3,NA,NA
"37",62197,1,1,2,2,2,2,2,2,1,10,2.9,3,NA,NA
"38",62198,2,2,2,2,2,2,2,2,2,3,0.62,1,2,1
"39",62199,1,1,2,2,2,2,2,1,2,11,5,3,NA,NA
"40",62200,1,2,2,2,2,2,2,2,2,12,4,3,NA,NA
