"","SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ300","IND310","INQ320"
"1",83732,1,2,2,2,2,2,2,1,2,10,4.14,3,1,NA,1
"2",83733,1,2,2,2,2,2,2,2,2,1,0,1,2,2,1
"3",83734,2,2,1,2,1,2,2,2,2,6,1.81,2,2,1,1
"4",83735,1,2,2,2,2,2,2,1,2,7,3.57,3,2,2,1
"5",83736,1,1,2,2,2,2,2,2,2,7,1.48,2,2,1,1
"6",83737,1,1,2,2,2,2,2,1,2,10,2.53,3,2,2,1
"7",83738,1,1,1,2,2,1,2,2,1,6,1.18,1,2,1,2
"8",83739,1,2,2,2,2,2,2,1,2,12,4.22,3,1,NA,1
"9",83740,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,2
"10",83741,1,2,2,2,2,2,2,2,1,9,2.98,3,2,1,1
"11",83742,1,2,2,2,2,2,1,2,1,5,0.99,1,2,1,1
"12",83743,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"13",83744,2,2,1,2,2,2,2,2,2,3,1.02,1,2,1,1
"14",83745,2,2,1,1,2,2,2,2,2,4,0.79,1,2,1,3
"15",83746,1,2,2,2,2,2,2,2,2,99,NA,3,9,NA,1
"16",83747,2,2,2,1,2,2,1,2,2,6,1.73,2,2,1,4
"17",83748,1,2,1,1,2,2,1,2,2,99,NA,1,2,1,1
"18",83749,1,2,2,2,2,2,2,2,2,8,1.65,2,2,1,1
"19",83750,2,1,2,2,2,2,2,2,2,5,2.04,3,2,1,2
"20",83751,2,2,1,2,2,1,1,2,2,6,0.92,1,2,1,1
"21",83752,1,2,2,2,2,2,2,2,2,12,5,3,2,5,1
"22",83753,1,2,2,2,2,2,2,2,2,8,2.33,3,2,1,1
"23",83754,1,1,1,1,2,1,2,2,2,6,0.89,1,2,1,1
"24",83755,2,2,1,2,2,2,2,2,2,5,2.04,3,2,1,3
"25",83756,1,2,2,2,2,2,2,2,2,6,1.03,1,2,1,1
"26",83757,1,2,2,1,2,1,1,2,2,5,0.76,1,2,1,2
"27",83758,2,2,1,2,1,2,2,1,2,9,5,3,1,NA,1
"28",83759,1,2,2,2,2,2,2,2,1,6,1.37,2,2,1,1
"29",83760,1,2,2,2,2,2,2,2,2,7,1.18,1,2,77,1
"30",83761,2,2,2,2,2,2,2,2,2,1,0,1,2,1,4
"31",83762,1,2,2,2,2,2,2,2,2,4,1.43,2,2,1,1
"32",83763,1,1,2,2,2,2,2,2,2,9,2.11,3,2,1,1
"33",83764,1,2,2,2,2,2,2,1,2,8,1.98,3,1,NA,1
"34",83765,1,2,2,2,2,2,2,1,2,8,2.68,3,2,5,1
"35",83766,1,2,2,2,2,2,2,1,2,11,3.38,3,1,NA,1
"36",83767,1,2,2,2,2,1,2,2,2,11,2.95,3,1,NA,1
"37",83768,1,1,2,2,2,2,2,2,1,5,0.72,1,2,1,1
"38",83769,1,2,2,2,2,2,2,2,2,10,2.72,3,2,1,1
"39",83770,1,1,2,2,2,2,2,2,2,3,0.59,1,2,1,1
"40",83771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",83772,1,2,2,2,2,2,2,2,2,3,0.82,1,2,1,1
"42",83773,2,1,1,2,1,2,2,2,2,8,3.87,3,1,NA,3
"43",83774,1,2,2,2,2,2,2,2,2,12,4.3,3,2,2,1
"44",83775,2,2,1,2,2,1,2,2,2,3,0.85,1,2,1,4
"45",83776,2,2,1,2,1,2,2,9,2,11,3.75,3,1,NA,1
"46",83777,1,2,2,2,2,2,2,2,2,7,1.35,2,2,2,1
"47",83778,1,2,2,2,2,2,2,2,1,6,1.24,1,2,4,1
"48",83779,1,2,2,2,2,2,2,2,2,5,1.19,1,2,1,2
"49",83780,1,1,2,2,2,2,2,1,2,10,2.53,3,2,2,1
"50",83781,1,1,2,1,1,2,2,2,2,NA,NA,NA,NA,NA,4
"51",83782,1,2,1,2,2,2,2,2,2,7,1.05,1,2,1,1
"52",83783,1,1,2,2,2,2,2,2,2,12,4.64,3,1,NA,1
"53",83784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",83785,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
"55",83786,7,7,7,2,2,2,2,7,2,NA,NA,NA,NA,NA,1
"56",83787,1,2,2,2,2,2,2,2,2,3,1.22,1,2,1,3
